,text,label
0,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",noHate
1,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",noHate
2,( Simply copy and paste the following text into your YouTube videos description boxes. ),noHate
3,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,hate
4,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,noHate
5,"Booklet updated on Feb. 14th , 2014 .",noHate
6,"( Now with over 18,300 Downloads. )",noHate
7,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,noHate
8,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,noHate
9,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,noHate
10,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",hate
11,Thank you for the info. i will deffinetly look into them .,noHate
12,I hope there is room for one more as i am very excited about this .,noHate
13,I just came across this piece of garbage .,noHate
14,Comments say she is from SA .,noHate
15,Warning : Graphic .,noHate
16,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,noHate
17,The whites are more in the range of 4.8 million .,noHate
18,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,noHate
19,Thank you for posting your story .,noHate
20,I think you should write a book as well .,noHate
21,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",hate
22,And the sad thing is the white students at those schools will act like that too .,hate
23,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",noHate
24,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,noHate
25,No wonder young people ca n't get jobs .,noHate
26,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,noHate
27,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",noHate
28,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,noHate
29,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,noHate
30,I think VHS tapes are available at Amazon .,noHate
31,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,hate
32,When the girl starts talking the guy in the middles lips start moving .,noHate
33,"He was checking her lines , bad actors ca n't help themselves from doing this .",noHate
34,This whole situation starts to become really bizarre .,noHate
35,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,noHate
36,I do n't know who to support anymore ................,noHate
37,I've read many post on here saying Israel gives training to US law enforcement .,noHate
38,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,noHate
39,I believe his dog would like to get as far away from him as possible !,noHate
40,Free North Carolina : Peterson 's particulars VikingInMe,noHate
41,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",noHate
42,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,hate
43,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,noHate
44,I do n't watch T.V. or Hollywood movies .,noHate
45,I know of Chris Rock and subsequently have hated him for a long time .,noHate
46,He is a pathetic little chimp .,hate
47,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,noHate
48,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",noHate
49,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",noHate
50,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,noHate
51,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,noHate
52,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,noHate
53,com/watch ? v = n663eVTSyS8,noHate
54,Note!,noHate
55,"Wntube is now .net , not .com.",noHate
56,They have improved the site .,noHate
57,Please contribute and/or donate .,noHate
58,http://www.wntube.net/play.php ? vid = 1428 & code = 108,noHate
59,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,hate
60,Welcome to the front lines ...,noHate
61,"Folk , Faith , Family Hail Victory !!",noHate
62,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",hate
63,Protesters Clash during Military Parade in Barking,noHate
64,Does this not show how stupid these folks can be ?,noHate
65,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",noHate
66,Nice to know that are still a few men out there who `` have a pair '' .,noHate
67,Your courage and honestly are apprecated .,noHate
68,Jesus Christ is Lord indeed .,noHate
69,Y' all have a nice day .,noHate
70,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",hate
71,May they all get mad cow disease .,hate
72,The sooner the better .,noHate
73,"Yeah, but no one will ever hear of this .",noHate
74,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,noHate
75,That's all I needed to hear .,noHate
76,* Unsubscribed * Off to the SA threads .,noHate
77,There are White folks that require a little of our time .,noHate
78,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,noHate
79,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,noHate
80,http://www.visioncircle.org/archive/003870.html,noHate
81,I'm having a hard time believing this .,noHate
82,I have 2 friends in CS and neither has EVER worked with a black .,noHate
83,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",noHate
84,"Hundreds of people , but no blacks !",noHate
85,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",noHate
86,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",noHate
87,"Unfortunately , there are some poor White families where both parents work .",noHate
88,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",noHate
89,The parents who could n't teach on weekdays could teach on Saturday .,noHate
90,That was me .,noHate
91,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,noHate
92,Excellent Article !! * * * * * Why Were n't They In Jail ?,noHate
93,"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation .",noHate
94,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,noHate
95,"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",noHate
96,He is the fourth suspect to be charged with her murder .,noHate
97,"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County .",noHate
98,"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .",noHate
99,Only Mr. Smith had no prior criminal record .,noHate
100,"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car .",noHate
101,"He was also charged with burglary , larceny and possession of stolen property .",noHate
102,All four suspects are being held without bond in the Moore County Jail .,noHate
103,The Rest Of The Story,noHate
104,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",hate
105,Surprised it came back so fast ...,noHate
106,http://www.wral.com/news/local/story/1850536/,noHate
107,"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",noHate
108,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,hate
109,Good.,noHate
110,I hope they all starve .,hate
111,No white person should send a single penny or lift a single finger to help them .,hate
112,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",hate
113,"He walks upright , and has human arms and legs .",hate
114,I 've seen negroes who look ( and undoubtedly act ) like him .,hate
115,http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn,noHate
116,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",noHate
117,I will respond until Armenian scum will stop,hate
118,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",noHate
119,I see a nation where I can walk out my front door and not feel like a minority in my own country .,noHate
120,Where a white woman can go about in public and not fear assault by muds .,hate
121,"No, I see that as giving up .",noHate
122,"I hope one day to proudly say again that I am an American , when we take this country back .",noHate
123,BTL,noHate
124,"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",noHate
125,It has obviously been misunderstood and i would been keen to learn more .,noHate
126,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,hate
127,I apologize for my ignorance .,noHate
128,Baby steps .,noHate
129,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",noHate
130,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,hate
131,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,noHate
132,If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,noHate
133,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,hate
134,If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .,noHate
135,Can you give any examples of progress made by skinheads or the Klan ?,noHate
136,Seems to me they are in precipitous decline .,noHate
137,Ive been around here for four years and seen almost no class divide .,noHate
138,"I dont really like even talking about it , because I fear we will create a division where there is none .",noHate
139,Black ``women''on London transport ...,hate
140,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube",noHate
141,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",noHate
142,I think it has something to do with the type of sugar or where the sugar was originally grown .,noHate
143,BTW - I do n't recall seeing a Mars Bar in S.A ?,noHate
144,I never drink diet anything either because of the aspartame and water is for the fish .,noHate
145,"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do .",noHate
146,And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,noHate
147,You also need to avoid anything Soya .,noHate
148,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,noHate
149,And the non-edible chemicals in the processed and sometimes not so processed food .,noHate
150,In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,noHate
151,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",noHate
152,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",hate
153,YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,noHate
154,Racist attack by blacks on a young white girl in France .,noHate
155,Negro holding the camera laughs with glee : Dailymotion - Agression raciste contre une jeune fille blanche - France - une vidéo News & Politics,noHate
